id,name,type,handedness,range,description
1,Pistol/Revolver,range,1,12,"Pistols come in a staggering variety, ranging from revolvers to semi-automatic pistols. Heretic forges produce their own,often highly elaborate sidearms. They see extensive use in close-quarter combat."
2,Automatic Pistol,range,1,12,"Automatic pistols are symbols of prestige owing to their rarity and cost. They are excellent weapons when storming trenchesor fighting in hand-to-hand combat. They boast a high rate of fire, though they can be hard to control even for the bestsharpshooters since they usually lack a stock. Rules: A model armed with an automatic pistol can use it in melee as well as ranged combat, including as an off-handweapon to execute an additional melee attack. You can make two Attack ACTIONS with the automatic pistol insteadof one if used as a ranged weapon. They can be against the same target or two different ones."
3,Bolt Action Rifle,range,2,24,"The workhorse of the Great War. Sturdy, highly reliable and reasonably accurate, it is no surprise that most of the infantryof the Great War carry this battlefield classic."
4,Semi-Automatic Rifle,range,2,24,"Semi-automatic rifles are said to be an invention of Marbas, the Devil who holds great wisdom and knowledge inmechanical arts. They are excellent both at long range and in assault, combining accuracy and high rate of fire, though theyare prone to jamming."
5,Automatic Rifle,range,2,24,"A marvel of modern engineering, only a few prototypes of this weapon exist. It has a high rate of fire and can be quicklyre-loaded.Name Type Range Modifiers KeywordsRules: A model armed with an Automatic Rifle can make two attack ACTIONS instead of one. Both attacks must beagainst the same target."
6,Jezzail,range,2,18,"These long arms are by far the most common weapons carried by the soldiers of the Sultanate of the Great Iron Wall. Theirbarrels are smoothbore which limits their accurate range, but this is more than made up by the fact that this allows them tobe loaded with different types of Alchemical ammunition made by the Jabirean Alchemists."
7,Shotgun,range,2,12,"Short-barrelled pump action shotgun loaded with six rounds containing antimony hardened 00 buckshot, the combatshotgun is ideal for short-range engagements, clearing trenches and taking out lightly-armoured infantry. Often featuringstocks made of walnut or other rare wood, it is a custom of the troops to decorate these arms with carvings and inscriptions. Rules: Owing to its high accuracy, add +1 DICE to all rolls to hit. However, injuries are rolled with -1 DICE at longrange due to its low penetration power."
8,Automatic Shotgun,range,2,12,"This shotgun is equipped with an auto-loader, a recent invention by the Prussian engineering corps of Königsberg. Itis ideal for close quarter combat thanks to its high rate of power and accuracy. The technology has not been perfected,however, and sometimes leads to misfeeds and jams. Rules: Owing to its high accuracy, add +1 DICE to all rolls to hit. However, injuries are rolled with -1 DICE at longrange due to its low penetration power."
9,Submachine Gun,range,2,16,"The submachine gun (or SMG) is a fully automatic firearm, trading lower penetration power and range for a much higherrate of fire. Ideal for short-range engagements, it is much sought-after by warbands despite its scarcity and high cost. Rules: Can make two attack ACTIONS instead of one. These can be against a single target or two separate ones."
10,Musket,range,2,18,"A primitive weapon from a bygone age, the musket is a smooth bore long rifle that shoots lead balls. It still sees widespreaduse due to its simple construction and low price. Rules: Due to its low power, add -1 DICE for all Injury Chart rolls with the musket."
11,Sniper Rifle,range,2,48,"A sniper rifle is a high-precision, long-range rifle, widely used in the trenches to pick off high value targets such as officers,sappers and artillery crews. Expensive and rare, they are commonly given to the best marksmen and sharpshooters of thewarband. Rules: Add +1 DICE when making a Ranged Attack roll with a Sniper Rifle. If equipped with a Scope (seeEquipment), the Sniper Rifle also ignores the penalty for Long Range."
12,Grenades,range,,8,"Grenades or hand bombs are a staple of trench warfare. Grenades can kill the enemy underground or behind cover. Theycan also force the enemy into the open, providing targets for rifle and machine gun fire. Rules: Grenades have a blast radius of 2” – all models within this blast radius are hit."
13,Incendiary Grenades,range,,8,"Incendiary grenades can set their target alight with sulphur, phosphorous or flammable gas captured from the Lake of Firein the 7th Circle of Hell. Rules: Incendiary Grenades ignore all penalties for terrain/cover."
14,Gas Grenades,range,,8,"Gas Grenades are insidious weapons, attacking the lungs and other internal organs with noxious fumes. Devil Alchemistsof the 5th Circle are especially clever in creating these fiendish and hated weapons. Rules: Gas Grenades ignore all penalties for cover and armour but roll injuries with -1 DICE. Gas Grenades hit allenemies within 3” of a target they hit."
15,Grenade Launcher,range,2,36,Modifications of great siege rifles designed to lob grenades over long distances. Rules: Ignores all penalties for cover. This weapon has a blast radius of 3” – all enemies within this range are hit.
16,Satchel Charge,range,,6,"Battlefield explosives designed to break apart enemy fortifications and to crack even the toughest of armour. Rules: You can aim the Satchel Charge at any point on the ground as well as against an enemy model within range.Next, take a Ranged Attack ACTION. If the roll fails (i.e. you roll 6 or less), the bomb lands 1” away from its intendedlocation, multiplied by the number representing the degree of failure (for example, if you rolled 5, the satchel chargelands 2” away, as 7-5=2). The direction is decided by your opponent. The Satchel Charge adds +1 DICE to injuryrolls and has a blast radius of 3” hitting all models within this range."
17,Molotov Cocktail,range,,6,"Developed on the desperate Finnish battle frontier against Ice Demons, this improvised weapon consists of a glass bottlecontaining a flammable substance such as gasoline, alcohol or a napalm-like mixture plus a source of ignition. Rules: -1 DICE on injury rolls. Molotov Cocktails ignore all penalties for terrain/cover, as well as ignoring all armouron a Critical Attack roll."
18,Anti-Materiel Rifle,range,2,36,"Enormous long rifles designed to take out heavily armoured targets, vehicles and strongpoints. With the powerful armouravailable to the armies of the Great war, these terrifying weapons are much in demand. A downside is their enormousweight and terrifying recoil, and thus they are most often used by Communicants or Anointed who possess the supernaturalstrength to wield such weapons. Rules: Ignores armour. Add +1 DICE when rolling on the Injury Chart."
19,Machine Gun,range,2,36,"Machine Guns are lethal fully-automatic firearms, capable of mowing down entire ranks of infantry from afar. The firingrate depends on the lock assembly used but averages 500 rounds per minute. Rules: Machine Guns can make three Attack Actions instead of one. They can target separate models with eachattack, as long as all targets are within 6” of each other. After taking all three attacks the Activation of the model isover regardless of any remaining ACTIONS the model might have."
20,Flamethrower,range,2,8,"A flamethrower is a terrifying weapon capable of projecting great streams of fire and flammable liquids at a distance. Itis ideal for clearing bunkers, trenches and other fortifications, killing in a most horrific way. Consequently, it is greatlyfavoured by the Heretic forces. Rules: A Flamethrower hits one model within range automatically with its attack ACTION, ignoring armour. Injuriescaused by a Flamethrower are rolled with an additional -1 DICE. It also has the Keyword FIRE, so it causes anadditional +1 BLOOD MARKER on enemies it hits."
21,Heavy Flamethrower,range,2,10,"These massive flamethrowers are normally mounted on armoured vehicles, but those possessing uncanny strength may usethem as infantry weapons. Rules: Hits up to two models within range automatically with an Attack Action as long as they are within 6” of eachother. Ignores armour. It also has the Keyword FIRE, so it causes an additional +1 BLOOD MARKER on enemies ithits, even if no other damage is caused."
22,Unarmed,melee,,,"Fighting unarmed in the Great War is nigh-suicidal, but some troops carry no melee weapons or their weapons have beenlost in the heat of the battle. In such cases, a warrior is forced to defend themselves with fists, kicks and their bare teeth. Rules: Unarmed models suffer -1 DICE every time you fight unarmed in combat, both to see if the attack hits andwhen rolling on the Injury Chart. Note that you can never use Unarmed Strike as a second melee attack. These rulessimply cover all instances where the model fights unarmed and has no other Melee Actions in their profile."
23,Knife/Dagger,melee,1,,"Virtually all soldiers carry a trench knife, dagger or other kind of blade for close quarter engagements. It may lack thedevastating power of a great maul or other heavier melee weapons, but this humble weapon has taken countless livesduring the Great War. Rules: Add -1 DICE every time you use a knife to see if the attack hits."
24,Trench Club,melee,1,,"Trench Clubs are one of the most common weapons of the Great War, as melee combat is frequent and brutal. Usuallymade of wood with a metal tip from iron, lead or steel, trench clubs often feature spikes and hobnails. Most designs havesome form of cord or leather strap at the end to wrap around the user’s wrist."
25,Sword/Axe,melee,1,,"Because of the martial traditions of many proud nations and due to the advances in armour technology, swords andaxes are extremely popular, especially amongst elite units and officers. They are supremely useful for finishing off downedopponents and causing profusely bleeding wounds."
26,Bayonet,melee,2,,"Bayonets are blades in the form of spikes or daggers that can be fixed to the tip of a firearm and used in melee combat. Rules: Bayonets can only be attached to a Bolt Action Rifle, Automatic Rifle, Musket, Shotgun, Automatic Shotgunand Submachine Gun, and does not count towards the maximum Melee weapons a model can carry. Requires twohands to use in Melee.”"
27,Sacrificial Knife,melee,1,,"Terrifying blades blessed by the hand of a greater devil, these knives are used in Heretic rituals to sacrifice captives to thedark powers of Hell. They simply need to touch their opponents to cause indescribable pain and even the slightest woundoften proves fatal from the agony alone. They are risky even to their wielders, as the merest scratch wounds friend and a foealike. Rules: The Sacrificial Knife adds +2 to all rolls on the Injury Chart. For example, a roll of 7 on the Injury Chartbecomes 9 when using the Sacrificial Knife."
28,Blasphemous Staff,melee,1,,"Made in mockery of the rod carried by the Prophet Aaron, the slightest touch from this evil staff causes unimaginableagony due to the hellfire that it produces."
29,Hellblade,melee,2,,"Crafted from iron ore from the mines of Dis in Inferno, this weapon burns with the unquenchable fires of Hell. Rules: The Hellblade has +1 DICE when rolling for injuries. It also has the Keyword FIRE, so it causes an additional+1 BLOOD MARKER on enemies it hits."
30,Tartarus Claws,melee,2,,"Made from severed hands of Malebranche, the Tartarus Claws are granted by Arch-Devils only to those whose hearts areblackened with the sin of Wrath. Rules: Tartarus Claws always come as a pair and do not allow the use of any other melee weapons. You can make twoAttack ACTIONS with the Claws without the usual -1 DICE for the second attack. If the opponent is taken Down orOut of Action with the Claws you may immediately move the model up to 3”. If the move takes you into contact withanother enemy model, this counts as a charge and you can make a second Melee Attack ACTION with the claws. Youcan only do this follow-up move once per Activation."
31,Anti-Tank Hammer,melee,2,,"A polearm with a directional explosive mounted on its head. It is exceedingly good at taking out armoured targets but putsits user in grave danger. Rules: Ignores armour modifiers and rolls injuries with +1 DICE. If it hits the enemy, the wielder suffers +1 BLOODMARKER as well."
32,Trench Polearm,melee,2,,"Trench pikes, billhooks, spears and other long polearms are excellent defensive weapons, but are cumbersome and heavy.They are often used to deal with barbed wire. Rules: Polearms take two hands to use and the model armed with it cannot use any shield. Models equipped with aTrench Polearm give any charging opponent -1 DICE in Melee combat when rolling to hit. This only applies when acharging model attacks, not on subsequent rounds of Melee."
33,Scourge/Battle Whip/Flail,melee,1,,The metal whips of the Church are supremely good at both instilling discipline in the ranks of the faithful and tormentingthe heretics. Many devils also enjoy using these weapons due to the excruciating pain they inflict. These weapons areextremely difficult to dodge. Rules: Add +1 DICE to their Hit Rolls.
34,Double-Handed Blunt Weapon,melee,2,,"Mauls, clubs, maces… these are large, cumbersome weapons, often made from sturdy wood with a metal tip of steel, leador Iron of Tartarus. It takes great strength to fight with it for any length of time. They are especially suited for attackingarmoured targets. Rules: Takes two hands to use in melee. Rolls injuries with +1 to all Injury Rolls."
35,Great Sword/Axe,melee,2,,"Claymore, Zweihanders and even huge battle axes are used in the trenches when bullets fail to stop quick or well-armouredtargets. The strikes from these weapons can easily lop off limbs and heads. Rules: Rolls all injuries with +1 DICE."
36,Misericordia,melee,1,,"The misericordia dagger is designed to put enemies out of their misery by finding chinks in the armour: eye slits, neck jointsand so forth. Rules: Ignores the armour of opponents that are Down"
37,Trench Shield,armor,1,,"Shields used in trench warfare are made of either steel reinforced with Orichalcum to allow them to withstand even highcalibre bullets, or from metal mined from Infernal bedrock and shaped in the armouries of Pandæmonium, the Capital ofHell. Rules: Takes one hand to use in both melee and in ranged combat. Grants -1 DICE to all injury rolls against themodel. This bonus stacks with any armour the model wears, unless otherwise indicated."
