id,name,type,handedness,range,description
1,Pistol/Revolver,range,1,12,"Pistols come in a staggering variety, ranging from revolvers to semi-automatic pistols. Heretic forges produce their own,often highly elaborate sidearms. They see extensive use in close-quarter combat."
2,Automatic Pistol,range,1,12,"Automatic pistols are symbols of prestige owing to their rarity and cost. They are excellent weapons when storming trenchesor fighting in hand-to-hand combat. They boast a high rate of fire, though they can be hard to control even for the bestsharpshooters since they usually lack a stock. Rules: A model armed with an automatic pistol can use it in melee as well as ranged combat, including as an off-handweapon to execute an additional melee attack. You can make two Attack ACTIONS with the automatic pistol insteadof one if used as a ranged weapon. They can be against the same target or two different ones."
3,Bolt Action Rifle,range,2,24,"The workhorse of the Great War. Sturdy, highly reliable and reasonably accurate, it is no surprise that most of the infantry of the Great War carry this battlefield classic."
4,Semi-Automatic Rifle,range,2,24,"Semi-automatic rifles are said to be an invention of Marbas, the Devil who holds great wisdom and knowledge inmechanical arts. They are excellent both at long range and in assault, combining accuracy and high rate of fire, though they are prone to jamming."
5,Automatic Rifle,range,2,24,"A marvel of modern engineering, only a few prototypes of this weapon exist. It has a high rate of fire and can be quicklyre-loaded.Name Type Range Modifiers KeywordsRules: A model armed with an Automatic Rifle can make two attack ACTIONS instead of one. Both attacks must beagainst the same target."
6,Jezzail,range,2,18,"These long arms are by far the most common weapons carried by the soldiers of the Sultanate of the Great Iron Wall. Theirbarrels are smoothbore which limits their accurate range, but this is more than made up by the fact that this allows them tobe loaded with different types of Alchemical ammunition made by the Jabirean Alchemists."
7,Shotgun,range,2,12,"Short-barrelled pump action shotgun loaded with six rounds containing antimony hardened 00 buckshot, the combatshotgun is ideal for short-range engagements, clearing trenches and taking out lightly-armoured infantry. Often featuring stocks made of walnut or other rare wood, it is a custom of the troops to decorate these arms with carvings and inscriptions."
8,Automatic Shotgun,range,2,12,"This shotgun is equipped with an auto-loader, a recent invention by the Prussian engineering corps of Königsberg. Itis ideal for close quarter combat thanks to its high rate of power and accuracy. The technology has not been perfected,however, and sometimes leads to misfeeds and jams. "
9,Submachine Gun,range,2,16,"The submachine gun (or SMG) is a fully automatic firearm, trading lower penetration power and range for a much higherrate of fire. Ideal for short-range engagements, it is much sought-after by warbands despite its scarcity and high cost. "
10,Musket,range,2,18,"A primitive weapon from a bygone age, the musket is a smooth bore long rifle that shoots lead balls. It still sees widespreaduse due to its simple construction and low price. "
11,Sniper Rifle,range,2,48,"A sniper rifle is a high-precision, long-range rifle, widely used in the trenches to pick off high value targets such as officers,sappers and artillery crews. Expensive and rare, they are commonly given to the best marksmen and sharpshooters of thewarband."
12,Grenades,grenade,,8,"Grenades or hand bombs are a staple of trench warfare. Grenades can kill the enemy underground or behind cover. They can also force the enemy into the open, providing targets for rifle and machine gun fire."
13,Incendiary Grenades,grenade,,8,"Incendiary grenades can set their target alight with sulphur, phosphorous or flammable gas captured from the Lake of Firein the 7th Circle of Hell."
14,Gas Grenades,grenade,,8,"Gas Grenades are insidious weapons, attacking the lungs and other internal organs with noxious fumes. Devil Alchemists of the 5th Circle are especially clever in creating these fiendish and hated weapons. "
15,Grenade Launcher,range,2,36,Modifications of great siege rifles designed to lob grenades over long distances.
16,Satchel Charge,grenade,,6,Battlefield explosives designed to break apart enemy fortifications and to crack even the toughest of armour.
17,Molotov Cocktail,grenade,,6,"Developed on the desperate Finnish battle frontier against Ice Demons, this improvised weapon consists of a glass bottlecontaining a flammable substance such as gasoline, alcohol or a napalm-like mixture plus a source of ignition. "
18,Anti-Materiel Rifle,range,2,36,"Enormous long rifles designed to take out heavily armoured targets, vehicles and strongpoints. With the powerful armour available to the armies of the Great war, these terrifying weapons are much in demand. A downside is their enormous weight and terrifying recoil, and thus they are most often used by Communicants or Anointed who possess the supernatural strength to wield such weapons."
19,Machine Gun,range,2,36,"Machine Guns are lethal fully-automatic firearms, capable of mowing down entire ranks of infantry from afar. The firing rate depends on the lock assembly used but averages 500 rounds per minute."
20,Flamethrower,range,2,8,"A flamethrower is a terrifying weapon capable of projecting great streams of fire and flammable liquids at a distance. Itis ideal for clearing bunkers, trenches and other fortifications, killing in a most horrific way. Consequently, it is greatlyfavoured by the Heretic forces."
21,Heavy Flamethrower,range,2,10,"These massive flamethrowers are normally mounted on armoured vehicles, but those possessing uncanny strength may usethem as infantry weapons."
22,Unarmed,melee,,,"Fighting unarmed in the Great War is nigh-suicidal, but some troops carry no melee weapons or their weapons have beenlost in the heat of the battle. In such cases, a warrior is forced to defend themselves with fists, kicks and their bare teeth."
23,Knife/Dagger,melee,1,,"Virtually all soldiers carry a trench knife, dagger or other kind of blade for close quarter engagements. It may lack thedevastating power of a great maul or other heavier melee weapons, but this humble weapon has taken countless livesduring the Great War."
24,Trench Club,melee,1,,"Trench Clubs are one of the most common weapons of the Great War, as melee combat is frequent and brutal. Usuallymade of wood with a metal tip from iron, lead or steel, trench clubs often feature spikes and hobnails. Most designs havesome form of cord or leather strap at the end to wrap around the user’s wrist."
25,Sword/Axe,melee,1,,"Because of the martial traditions of many proud nations and due to the advances in armour technology, swords andaxes are extremely popular, especially amongst elite units and officers. They are supremely useful for finishing off downed opponents and causing profusely bleeding wounds."
26,Bayonet,melee,2,,"Bayonets are blades in the form of spikes or daggers that can be fixed to the tip of a firearm and used in melee combat. Rules: Bayonets can only be attached to a Bolt Action Rifle, Automatic Rifle, Musket, Shotgun, Automatic Shotgunand Submachine Gun, and does not count towards the maximum Melee weapons a model can carry. Requires twohands to use in Melee.”"
27,Sacrificial Knife,melee,1,,"Terrifying blades blessed by the hand of a greater devil, these knives are used in Heretic rituals to sacrifice captives to the dark powers of Hell. They simply need to touch their opponents to cause indescribable pain and even the slightest woundoften proves fatal from the agony alone. They are risky even to their wielders, as the merest scratch wounds friend and a foe alike."
28,Blasphemous Staff,melee,1,,"Made in mockery of the rod carried by the Prophet Aaron, the slightest touch from this evil staff causes unimaginableagony due to the hellfire that it produces."
29,Hellblade,melee,2,,"Crafted from iron ore from the mines of Dis in Inferno, this weapon burns with the unquenchable fires of Hell."
30,Tartarus Claws,melee,2,,"Made from severed hands of Malebranche, the Tartarus Claws are granted by Arch-Devils only to those whose hearts are blackened with the sin of Wrath."
31,Anti-Tank Hammer,melee,2,,A polearm with a directional explosive mounted on its head. It is exceedingly good at taking out armoured targets but putsits user in grave danger.
32,Trench Polearm,melee,2,,"Trench pikes, billhooks, spears and other long polearms are excellent defensive weapons, but are cumbersome and heavy.They are often used to deal with barbed wire."
33,Scourge/Battle Whip/Flail,melee,1,,The metal whips of the Church are supremely good at both instilling discipline in the ranks of the faithful and tormentingthe heretics. Many devils also enjoy using these weapons due to the excruciating pain they inflict. These weapons areextremely difficult to dodge.
34,Double-Handed Blunt Weapon,melee,2,,"Mauls, clubs, maces… these are large, cumbersome weapons, often made from sturdy wood with a metal tip of steel, leador Iron of Tartarus. It takes great strength to fight with it for any length of time. They are especially suited for attackingarmoured targets."
35,Great Sword/Axe,melee,2,,"Claymore, Zweihanders and even huge battle axes are used in the trenches when bullets fail to stop quick or well-armoured targets. The strikes from these weapons can easily lop off limbs and heads."
36,Misericordia,melee,1,,"The misericordia dagger is designed to put enemies out of their misery by finding chinks in the armour: eye slits, neck jointsand so forth."
37,Trench Shield,armor,1,,"Shields used in trench warfare are made of either steel reinforced with Orichalcum to allow them to withstand even high calibre bullets, or from metal mined from Infernal bedrock and shaped in the armouries of Pandæmonium, the Capital of Hell."
38,Standard Armour,armor,,,"With the advancements in metallurgy and technology, both Faithful and Heretic armies are well-equipped with suits ofalloy armour that can withstand an impact from a bullet or turn aside the sharpest of blades. Standard armour is usuallymass-produced, but highly effective even against high-calibre weapons. Rules: -1 to all Injury Chart rolls against the model. Can be combined with any shield."
39,Heavy Armour,armor,,,Heavy armour is a master-crafted suit made individually for the most important and elite troops. Each one is richly decorated and often carries the personal device of the warrior who wears it.
40,Machine Armour,armor,,,"Combining the rarest of divine metal alloys and the latest technology of New Antioch, Machine Armour makes its wearera virtual mobile tank."
41,Holy Icon Shield,armor,1,,"These shields are made from icons that have performed miracles. Mounted on blessed wood, they are harder than any steeland virtually indestructible. Only the most revered fighters in the service of the Church ever carry one. "
42,Holy Icon Armour,armor,,,Only a few of these suits of armour exist in all of Christendom. Covered with miraculous icons this suit of armour is protected by the very hand of Heaven and its wearer can withstand even direct hits from artillery.
43,Loudspeakers,equipment,,,The War Prophet blares out holy sermons and dire prophecies at 100 decibels to inspire the faithful.
44,The Communicant Cross,armor,,,A sacred cross is nailed on the face of the Communicant. 
45,Martyrdom Device,equipment,,,
46,Catherine Wheel,melee,1,,
47,Bonebreaker Mace,melee,1,,
48,Engineer Body Armour,armor,,,
49,Infested Rifle,range,2,12,"Armour offers little protection against the horrid, tainted bullets of this rifle, polluted by the power of Beelzebub himself. The bullets are semi-sentient, flying through the tiniest of chink in any armour."
50,Corruption Belcher,range,2,8,Corruption Belchers spew forth noxious gas and corrosive fumes captured from the Bolgias of the putrid swamps of the seventh layer of Hell.
51,Putrid Shotgun,range,2,12,"Loaded with corroded demon-possessed winged shot filled with infected parasite larvae, the rounds of the Putrid Shotguns are almost impossible to avoid. This repulsive weapon is nicknamed ‘blunderpus’ by the New Antioch troops."
52,Viscera Cannon,range,2,18,"This heavy firearm is the most loathsome and repulsive of all the weapons in the arsenal of the Black Grail - and that is saying something, considering the stiff competition it has. A warrior armed with this pride of Beelzebub inserts its tubes into their own abdomen and then shoots the corrosive contents of their own innards at the enemy. It is operated by a hand crank that first builds pressure inside the user until they are at the point of bursting, and then releases the spray of viscera at their foe. The greater the amount of their own flesh the user releases, the more horrific the damage."
53,Plague Blade,melee,1,,"Carrying the viral strain of Beelzebub himself, these weapons are the terror of all mortals. Even the tiniest nick or scratch usually leads to an agonising death and eternal servitude to the Lord of Flies as a ghastly walking corpse."
54,Beelzebub’s Axe,melee,2,,"Carrying the viral strain of Beelzebub himself, these weapons are the terror of all mortals. Even the tiniest nick or scratch usually leads to an agonising death and eternal servitude to the Lord of Flies as a ghastly walking corpse."
55,Black Grail Shield,armor,1,,"The Device of the Black Grail carries the blessing of the Lord of Flies. It has a will of its own, moving to intercept any bullets or other projectiles that might impede the work of Beelzebub."
56,Parasite Grenades,grenade,,8,"Gift from the Lord of the Flies, these grenades are filled with parasitic mind worms whose bites cause fever dreams and terrifying hallucinations. They are used to force the mortals away from the safety of defended bunkers and trenches."
57,Silenced Pistol,range,1,12,"A sophisticated sidearm made of Orichalcum or other holy metals, or from Infernal iron taken from the very prisons of Hell to muffle the wails of the damned. It is virtually silent and is excellent for ambushes or for shooting from behind cover."
58,Combat Helmet,equipment,,,"A combat helmet has proven its value on the battlefield time and again. Since the use of grenades and other explosives became widespread, the humble combat helmet has saved many lives."
59,Iron Capirote,equipment,,,A conical helmet reminiscent of the headgear of the penitents. Blessed by the Church and often containing a fragment of a relic. Iron Capirotes shield their wearers from the psychological horror of war and allow them to face creatures from the pits of Hell unflinchingly.
