troop_type_id,name,rule
1,Puppet Master,"Select a target model within 12” of the Priest, friend or foe (including the Priest). As a RISKY ACTION you can move the model D6” in any direction, including forcing it to fall down or enter into melee combat with any enemy model, or leave Combat (all the usual rules apply)"
2,Stealth Generator,Ranged attacks against a Death Commando suffer -1 DICE to all the attack rolls.
2,Hide,"As a RISKY ACTION the Commando can hide if any piece of scenery the model is touching can block line of sight to any direction, even partially. If successful, enemies cannot charge or target the Commando with a ranged attack, though blast radius weapons can still hit them if aimed at a different target and the Commando is within the blast radius. If after hiding the Death Commando moves in any way, charges or shoots, this effect is cancelled and the enemies can target the Commando as standard."
3,Unholy Hymns,All enemy models within 8” of the Chorister suffer an additional -1 DICE for all ACTIONS they attempt.
6,Loping Dash,A War Wolf may take its Dash ACTION with +2 DICE. The War Wolf ignores difficult terrain penalties.
6,Chainmaw,The War Wolf can attack any enemy with its Chainsaw Mouth in melee combat - this is a RISKY ACTION with +3 DICE. The attack ignores any armour worn by the target. Roll any injuries with +1 DICE.
6,Shredding Claws,The War Wolf can take a Melee combat attack as an ACTION with +1 DICE to hit. Roll any injuries with +1 DICE.
7,Infernal Bomb,"Choose a point on the battlefield that is visible to the Witch and within 36” and make a Ranged Attack ACTION. If the roll is unsuccessful, the bomb is off-target and will deviate 1” from your nominated target point for each degree of failure of the Ranged Attack ACTION in a direction determined by your opponent (for example, if you rolled 5, the bomb lands 2” away, as 7-5=2). The direction is decided by your opponent. Once the landing site of the bomb has been determined, it will detonate. Roll once on the Injury Chart for each model that is within 3” of where the bomb landed. No to hit roll is needed.
If the bomb lands exactly on top of any model, roll with 3D6 on the Injury Chart and add the dice together! Other models hit by the Bomb roll on the Injury Chart as standard. Any model hit but not taken Out of Action by this attack is blown D3” directly away from the point of impact, stopping if they hit other models/ buildings/objects. This attack has the Keyword SHRAPNEL and therefore causes an additional +1 BLOOD MARKER. Cover, range and higher position do not affect the attacks by the Infernal Bomb. Roll injuries for models in cover/behind intervening terrain with -1 DICE.
Once the landing site of the bomb has been determined, it will detonate. Roll once on the Injury Chart for each model that is within 3” of where the bomb landed. No to hit roll is needed."
7,Artificial Life,Artillery Witches are not affected by FEAR and attacks with the Keyword GAS cannot damage them.
8,Memento Mori,"The War Prophet is touched by Heaven and the revealed truth allows them a degree of protection against premature death. Once per battle, when the War Prophet is taken Out of Action for any reason, ignore the result as if nothing had happened."
8,Laying on Hands,"With a successful ACTION, you may remove D3 BLOOD MARKERs from any friendly model within 6” (including the Prophet)."
9,Enforced Orthodoxy,"During its Activation, a Castigator may take a RISKY ACTION with +1 DICE. If successful, all friendly models that are Down and within 8” of the Castigator may immediately stand up at no penalty or cost."
9,Whip of God,"Unlike other models, Castigator is allowed to attack friendly models within 1”, and can do this without declaring a charge. If the Castigator takes out a friendly model with such an attack, add +1 DICE per model taken Out of Action by the Castigator to the next Morale check your Warband takes, as such an act of Piety inspires the troops."
10,Miracle of Regeneration,"At the start of each of their Activations, the Communicant may remove 1 BLOOD MARKER from themselves, if they have any."
10,Bodyguard,"If any model with the PILGRIM Keyword within 1” of the Communicant is hit, you can choose to redirect the hit against the Communicant instead. Determine the effects of the Attack or Ranged Attack as if it had targeted this model."
11,Resurrection,"When a Trench Pilgrim dies, you may elect to re-buy them as a Martyr-Penitent resurrected by a Meta-Christ for a cost of 45 Gold Ducats after battle. When hit, any attacks against a Martyr-Penitent add -1 DICE when rolling on the Injury Table. Their Melee bonus is increased to +1 DICE."
12,Blessed Stigmata,"When a Stigmatic Nun suffers any BLOOD MARKERS from any source (except attacks with the Keyword GAS or FIRE which damage the nuns normally), you may immediately convert any such BLOOD MARKERS into BLESSING MARKERS. Note: This must be done when the BLOOD MARKERS are received and may not be done at a later point in the turn."
13,Mad Dash,Ecclesiastic Prisoner can add +1 DICE to their Dash ACTION.
13,Agile,Stigmatic Nuns may take any Dash ACTION or jump/climb/ Diving Charge ACTION with +1 DICE.
14,Broken on the Wheel,"Before the start of the battle, one Trench Pilgrim or Ecclesiastic Prisoner may voluntarily be broken on the wheel to show their piety and devotion (Remove all weapons, armour and equipment from the victim and use/store them as you wish). The Shrine Anchorite will then shatter the bones of the volunteer and carry the broken victim to the battle on its Wheel. Any attacks against the Anchorite are then taken by the volunteer instead of the Anchorite (using the Armour of the volunteer) until the volunteer has been taken Out of Action. Down result against the volunteer does not affect the Anchorite movement. Note that they are otherwise treated as a single model and share any BLOOD MARKERs from any source. A volunteer cannot make any ACTIONs or move -for obvious reasons. At the end of the battle, even if the Volunteer would have survived, the model dies and is removed from your Warband."
15,Mubarizun,"Yüzbaşı is expected to face the mightiest of their enemies in personal combat, inspiring the troops to victory with their personal prowess. Yüzbaşı are immune to the effects of the Keyword FEAR and add +1 DICE to injury rolls against TOUGH opponents."
16,Mastery of the Elements,"At the beginning of a battle, all ranged and melee weapons that an Alchemist has been equipped with may be assigned one of the following Keywords: SHRAPNEL, FIRE or GAS. All the weapons the Alchemist has will share the same Keyword. With a RISKY ACTION with +1 DICE, the Alchemist can change this Keyword into one of the others."
17,Time Slip,"If any type of attack (melee, ranged, mine etc.) misses an Assassin, the Assassin may slip into a moment in the future. The Assassin can move into any unoccupied space within 6”, though the Assassin cannot be moved within 1” of any enemy model or leave the battlefield. If moving out of Melee, enemies do not get free attacks."
17,Temporal Assassin,"When the Assassin charges an enemy and you’ve rolled to see if their charge reaches them, check if there are any other enemies within Assassin’s charge distance. If there is more than one eligible target, you may move the Assassin in base contact with up to two enemy models one after the other, and resolve the Assassin attacking both of the models separately, including any injuries. You can attack each model with only one of the Melee Attacks available to the Assassin. After resolving both attacks, you can decide which of the two positions the Assassin ends up in after making the melee attacks."
19,Mine-setting,"As an ACTION with +2 DICE, the Sapper can mine a piece of terrain they alone are touching, no bigger than 8” x 8” (an 8” section of trench, a wall, a tree, a building etc). If successful, the terrain piece is now mined. Any model (except the Sapper who set the mine) who moves into contact with the terrain piece will trigger the mine. Roll on the Injury Chart to see what happens to the model. The mine has the Keyword SHRAPNEL. After this, the terrain piece is no longer mined."
19,De-mine,"As a RISKY ACTION the Sapper can disable any mine they move in contact with. If they fail, the mine blows and causes damage as specified in the rules."
19,Dig In,"During their Activation, a Sapper can take a RISKY ACTION with +1 DICE. If successful, the Sapper is considered to be in Cover until the model moves. This can only be done on the ground."
20,Artificial Body,"Created through the Jabirean alchemy, the Lions have no vital organs and they must be dismembered in order to kill them. All injury rolls against the Lion are made with -1 DICE."
20,Mauling,"A Downed opponent cannot stand up if it is in melee combat with a Lion of Jabir, unless it is on a 40mm or larger base."
20,Lion's Grace,Lions of Jabir may take any Dash ACTION or jump/climb/ Diving Charge ACTION with bonus +1 DICE.
21,Counter-Charge,"If the first ACTION a Janissary makes during their Activation is a Charge, they can add +1 DICE to their subsequent Melee Attack ACTIONS during this Activation."
22,Artificial Body,"Created through the Jabirean alchemy, the Bulls have no vital organs and they must be dismembered in order to kill them. All injury rolls against the Lion are made with -1 DICE."
22,Trample,"Whenever the Brazen Bull is fighting any enemy model on a 32mm or smaller base in melee that is Down, it can make a single additional Melee Attack ACTION any time during its Activation against one Downed opponent. Resolve the attack as if the Brazen Bull was armed with a Trench Club. This attack Ignores armour as the Brazen Bull stomps their enemies into pulp."
23,On my command!,"Once per Turn immediately after they are Activated, as an ACTION the Lieutenant can instead force the opponent to activate one of their models that the Lieutenant can select from amongst the models they can see. The Lieutenant can then be Activated later in the same Turn as normal."
24,"Onwards, Christian Soldiers!","If the Cleric makes a successful ACTION roll, all friendly models that are within 8” of the Trench Cleric are not affected by FEAR."
25,Aim,A Sniper Priest may take a RISKY ACTION to aim. If successful then the Priest may add +2 DICE to any Ranged attack rolls during this same Activation.
25,Absolute Faith,Sniper Priests do not use their eyesight to aim at their enemies. The opponent cannot apply any BLOOD MARKERs when they use a Ranged weapon. They still suffer penalties for Range and Cover as standard.
28,Shock Charge,"When a Shocktrooper charges, roll 2D6 instead of 1D6 and then add the highest of the two dice to their charge move."
29,Battlefield Demolition,The Engineer ignores the HEAVY rules for a Satchel Charges.
29,De-mine,"As a RISKY ACTION the Engineer can disable any mine they move in contact with. If they fail, the mine blows and causes damage as specified in the rules."
29,Dig In,"During their Activation, a Engineer can take a RISKY ACTION with +1 DICE. If successful, the Engineer is considered to be in Cover until the model moves. This can only be done on the ground."
31,Finish the Fallen,"Due their knowledge of anatomy and physiology, medics are experts at inflicting debilitating injuries and excruciating pain. Unless the target has the Keyword DEMONIC or BLACK GRAIL, add +1 DICE to any injury rolls the medic makes in melee against opponents who are Down."
31,Expert Medic,Medic adds +1 DICE whenever they use their Medi-Kit to aid friendly models. 
32,Beelzebub's Touch,"As long as the Lord of Tumours has one free hand (which carries no weapons or a shield), it can make a RISKY ACTION against any non-BLACK GRAIL model it is fighting in melee combat. If successful, the target model gains +D3 INFECTION MARKERS. It can still fight with the other hand as normal."
32,Undead Fortitude,"All injury rolls against this model are made with -1 DICE, unless the attack has the Keyword FIRE, in which case it works normally. Attacks with the Keyword GAS have no effect on it."
33,Undead Fortitude,"All injury rolls against this model are made with -1 DICE, unless the attack has the Keyword FIRE, in which case it works normally. Attacks with the Keyword GAS have no effect on it."
34,Parasitic Tick,"If a Corpse Guard attack causes a BLOOD MARKER on a creature without the Keyword BLACK GRAIL in melee combat, the Corpse Guard can remove one of their own BLOOD MARKERS."
